Outcome,Exposure,ModelStructure2,ExposureCoefficient,StdErrorCoefExp,ResidModelVariance,RandomEffectLabel,RandEffectVar,IQRExposure,Coef_IQR
cbc_wbc,log_vest_pm10,cbc_wbc ~ log_vest_pm10 + age + gender + race_afam + season,-1.41176220610795,0.547967034411797,1.95962041407502, , ,0.692549999999999,-2.03849860097893

log_cbc_wbc,log_vest_pm10,log_cbc_wbc ~ log_vest_pm10 + age + gender + race_afam + season,-0.223543983199234,0.0807712826035449,0.0425771952568457, , ,0.692549999999999,-0.322783890259525

cbc_abs_eos,log_vest_pm10,cbc_abs_eos ~ log_vest_pm10 + age + gender + race_afam + season,-0.135238937976018,0.0609438105296298,0.0242394242990653, , ,0.692549999999999,-0.195276785757011

cbc_abs_neut,log_vest_pm10,cbc_abs_neut ~ log_vest_pm10 + age + gender + race_afam + season,-0.459454842624301,0.440962079394791,1.26901156003394, , ,0.692549999999999,-0.66342479622309

log_cbc_abs_neut,log_vest_pm10,log_cbc_abs_neut ~ log_vest_pm10 + age + gender + race_afam + season,-0.180614355117772,0.132718899340669,0.114955203165029, , ,0.692549999999999,-0.260796123193664

cbc_percent_eos,log_vest_pm10,cbc_percent_eos ~ log_vest_pm10 + age + gender + race_afam + season,-0.960767224382618,1.05011453204175,7.19675018521908, , ,0.692549999999999,-1.38728932839884

cbc_percent_neut,log_vest_pm10,cbc_percent_neut ~ log_vest_pm10 + age + gender + race_afam + season,2.10881111901726,3.70326721274273,89.5020928860947, , ,0.692549999999999,3.04499475708218

log_cbc_percent_neut,log_vest_pm10,log_cbc_percent_neut ~ log_vest_pm10 + age + gender + race_afam + season,0.0429296280814617,0.0784163167494661,0.0401306292434621, , ,0.692549999999999,0.0619877670658605

cbc_wbc,log_msp_pm10,cbc_wbc ~ log_msp_pm10 + age + gender + race_afam + season,-1.01727759347504,0.457988518064618,2.07176819687376, , ,0.91476248842777,-1.11206745613658

log_cbc_wbc,log_msp_pm10,log_cbc_wbc ~ log_msp_pm10 + age + gender + race_afam + season,-0.164608631713379,0.0675383717805362,0.045053979225664, , ,0.91476248842777,-0.179946853741562

